Tid	Nr	Lufttemperatur
2018.01.04.17	1	-0.500	
2018.01.04.20	2	-0.700	
2018.01.04.23	3	-0.500	
2018.01.05.06	4	-2.400	
2018.01.05.09	5	-3.000	
2018.01.05.12	6	1.200	
2018.01.05.15	7	-1.800	
2018.01.05.18	8	-3.100	
2018.01.05.21	9	-4.000	
2018.01.06.00	10	-3.400	
2018.01.06.03	11	-1.800	
2018.01.06.06	12	-0.400	
2018.01.06.09	13	-3.100	
2018.01.07.11	14	1.650	
2018.01.07.12	15	2.100	
2018.01.07.15	16	0.800	
2018.01.07.18	17	0.900	
2018.01.07.21	18	1.700	
2018.01.08.00	19	2.700	
2018.01.08.03	20	3.400	
2018.01.08.06	21	2.600	
2018.01.08.09	22	2.700	
2018.01.08.12	23	2.800	
2018.01.08.15	24	3.400	
2018.01.08.18	25	2.800	
2018.01.08.21	26	1.400	
2018.01.09.00	27	0.700	
2018.01.09.03	28	-2.600	
2018.01.09.06	29	-3.600	
2018.01.09.09	30	0.000	
2018.01.09.12	31	9.600	
2018.01.09.15	32	8.400	
2018.01.09.18	33	8.200	
2018.01.09.21	34	7.000	
2018.01.10.00	35	8.200	
2018.01.10.03	36	8.000	
2018.01.10.06	37	8.200	
2018.01.10.09	38	5.400	
2018.01.10.12	39	5.400	
2018.01.10.15	40	4.900	
2018.01.10.18	41	4.000	
2018.01.10.21	42	3.500	
2018.01.11.00	43	2.600	
2018.01.11.03	44	2.800	
2018.01.11.06	45	2.900	
2018.01.11.09	46	3.500	
2018.01.11.12	47	4.100	
2018.01.11.15	48	4.400	
2018.01.11.18	49	3.800	
2018.01.11.21	50	2.500	
2018.01.12.00	51	2.200	
2018.01.12.03	52	0.300	
2018.01.12.06	53	1.100	
2018.01.12.09	54	0.400	
2018.01.12.12	55	5.200	
2018.01.12.15	56	0.200	
2018.01.12.18	57	1.400	
2018.01.12.21	58	1.900	
2018.01.13.00	59	NaN	
2018.01.13.03	60	0.200	
2018.01.13.06	61	-1.100	
2018.01.13.09	62	-2.400	
2018.01.13.12	63	2.500	
2018.01.13.15	64	-0.600	
2018.01.13.18	65	1.800	
2018.01.13.21	66	3.200	
2018.01.14.00	67	4.200	
2018.01.14.03	68	4.200	
2018.01.14.06	69	3.900	
2018.01.14.09	70	NaN	
2018.01.14.12	71	1.200	
2018.01.14.15	72	1.400	
2018.01.14.18	73	1.500	
2018.01.14.21	74	1.200	
2018.01.15.00	75	1.700	
2018.01.15.03	76	2.600	
2018.01.15.06	77	3.200	
2018.01.15.09	78	3.900	
2018.01.15.12	79	4.800	
2018.01.15.15	80	5.500	
2018.01.15.18	81	1.800	
2018.01.15.21	82	3.000	
2018.01.16.00	83	0.600	
2018.01.16.03	84	0.500	
2018.01.16.06	85	0.900	
2018.01.16.09	86	0.700	
2018.01.16.12	87	0.400	
2018.01.16.15	88	0.700	
2018.01.16.18	89	0.100	
2018.01.16.21	90	0.300	
2018.01.17.00	91	0.500	
2018.01.17.03	92	1.200	
2018.01.17.06	93	0.000	
2018.01.17.09	94	0.200	
2018.01.17.12	95	-0.300	
2018.01.17.15	96	0.100	
2018.01.17.18	97	0.400	
2018.01.17.21	98	0.600	
2018.01.18.00	99	0.300	
2018.01.18.03	100	1.500	
2018.01.18.06	101	0.800	
2018.01.18.09	102	0.900	
2018.01.18.12	103	0.600	
