,ar,t,tid,verdi,int,trend,dager
0,1958,3,1958.2079999999999,315.71,315.71,314.62,-1
1,1958,4,1958.2920000000001,317.45,317.45,315.29,-1
2,1958,5,1958.375,317.5,317.5,314.71,-1
3,1958,6,1958.4579999999999,-99.99,317.1,314.85,-1
4,1958,7,1958.5420000000001,315.86,315.86,314.98,-1
5,1958,8,1958.625,314.93,314.93,315.94,-1
6,1958,9,1958.7079999999999,313.2,313.2,315.91,-1
7,1958,10,1958.7920000000001,-99.99,312.66,315.61,-1
8,1958,11,1958.875,313.33,313.33,315.31,-1
9,1958,12,1958.9579999999999,314.67,314.67,315.61,-1
10,1959,1,1959.0420000000001,315.62,315.62,315.7,-1
11,1959,2,1959.125,316.38,316.38,315.88,-1
12,1959,3,1959.2079999999999,316.71,316.71,315.62,-1
13,1959,4,1959.2920000000001,317.72,317.72,315.56,-1
14,1959,5,1959.375,318.29,318.29,315.5,-1
15,1959,6,1959.4579999999999,318.15,318.15,315.92,-1
16,1959,7,1959.5420000000001,316.54,316.54,315.66,-1
17,1959,8,1959.625,314.8,314.8,315.81,-1
18,1959,9,1959.7079999999999,313.84,313.84,316.55,-1
19,1959,10,1959.7920000000001,313.26,313.26,316.19,-1
20,1959,11,1959.875,314.8,314.8,316.78,-1
21,1959,12,1959.9579999999999,315.58,315.58,316.52,-1
22,1960,1,1960.0420000000001,316.43,316.43,316.51,-1
23,1960,2,1960.125,316.97,316.97,316.47,-1
24,1960,3,1960.2079999999999,317.58,317.58,316.49,-1
25,1960,4,1960.2920000000001,319.02,319.02,316.86,-1
26,1960,5,1960.375,320.03,320.03,317.24,-1
27,1960,6,1960.4579999999999,319.59,319.59,317.36,-1
28,1960,7,1960.5420000000001,318.18,318.18,317.3,-1
29,1960,8,1960.625,315.91,315.91,316.92,-1
30,1960,9,1960.7079999999999,314.16,314.16,316.87,-1
31,1960,10,1960.7920000000001,313.83,313.83,316.76,-1
32,1960,11,1960.875,315.0,315.0,316.98,-1
33,1960,12,1960.9579999999999,316.19,316.19,317.13,-1
34,1961,1,1961.0420000000001,316.93,316.93,317.03,-1
35,1961,2,1961.125,317.7,317.7,317.28,-1
36,1961,3,1961.2079999999999,318.54,318.54,317.47,-1
37,1961,4,1961.2920000000001,319.48,319.48,317.27,-1
