time,altitude (m),speed (km/h),distance (km)
2013-10-05 11:00:53,51.6,2.5,0.000
2013-10-05 11:00:57,51.6,7.6,0.014
2013-10-05 11:01:01,51.6,12.3,0.035
2013-10-05 11:01:05,51.8,15.9,0.056
2013-10-05 11:01:06,51.8,17.0,0.060
2013-10-05 11:01:08,51.8,18.2,0.070
2013-10-05 11:01:11,51.6,17.5,0.083
2013-10-05 11:01:13,51.8,17.0,0.092
2013-10-05 11:01:16,51.8,16.4,0.105
2013-10-05 11:01:18,52.0,16.0,0.113
2013-10-05 11:01:21,52.0,15.8,0.128
2013-10-05 11:01:23,52.2,16.1,0.137
2013-10-05 11:01:25,52.2,16.1,0.146
2013-10-05 11:01:27,52.4,16.1,0.155
2013-10-05 11:01:30,52.4,16.5,0.169
2013-10-05 11:01:32,52.4,16.4,0.178
2013-10-05 11:01:33,52.4,16.2,0.182
2013-10-05 11:01:35,52.4,15.9,0.190
2013-10-05 11:01:41,52.4,14.8,0.213
2013-10-05 11:01:44,52.4,13.3,0.221
2013-10-05 11:01:45,52.4,12.5,0.222
2013-10-05 11:01:48,52.2,10.8,0.229
2013-10-05 11:01:49,52.2,10.7,0.233
2013-10-05 11:01:53,52.0,12.9,0.257
2013-10-05 11:01:57,52.2,16.5,0.279
2013-10-05 11:01:58,52.2,17.7,0.285
2013-10-05 11:02:02,52.2,19.2,0.303
2013-10-05 11:02:04,52.2,18.4,0.313
2013-10-05 11:02:06,52.2,17.7,0.322
2013-10-05 11:02:08,52.4,17.1,0.330
2013-10-05 11:02:13,52.4,15.9,0.352
2013-10-05 11:02:14,52.4,15.8,0.356
2013-10-05 11:02:18,52.2,15.0,0.371
2013-10-05 11:02:22,52.6,16.2,0.393
2013-10-05 11:02:25,52.8,16.9,0.409
2013-10-05 11:02:28,52.8,17.7,0.423
2013-10-05 11:02:31,53.0,18.0,0.436
2013-10-05 11:02:34,53.0,16.7,0.448
2013-10-05 11:02:39,53.6,15.5,0.469
2013-10-05 11:02:40,53.8,15.3,0.474
2013-10-05 11:02:45,54.6,14.8,0.494
2013-10-05 11:02:50,55.8,14.2,0.512
2013-10-05 11:02:56,57.2,13.7,0.535
2013-10-05 11:02:58,57.8,13.6,0.543
2013-10-05 11:03:04,59.2,13.2,0.564
2013-10-05 11:03:05,59.4,13.1,0.568
2013-10-05 11:03:11,60.4,13.1,0.590
2013-10-05 11:03:13,61.0,13.3,0.598
2013-10-05 11:03:18,62.0,13.2,0.616
2013-10-05 11:03:22,62.6,13.7,0.632
2013-10-05 11:03:27,63.0,14.4,0.653
2013-10-05 11:03:29,63.2,14.8,0.662
2013-10-05 11:03:34,63.6,15.2,0.683
2013-10-05 11:03:36,63.8,15.2,0.691
2013-10-05 11:03:41,64.2,15.4,0.713
2013-10-05 11:03:43,64.2,15.3,0.721
2013-10-05 11:03:48,64.4,15.6,0.744
2013-10-05 11:03:49,64.4,15.7,0.748
2013-10-05 11:03:54,64.2,15.7,0.770
2013-10-05 11:03:59,64.2,15.6,0.791
2013-10-05 11:04:00,64.2,15.6,0.796
2013-10-05 11:04:05,64.0,15.8,0.818
2013-10-05 11:04:08,64.0,16.2,0.832
2013-10-05 11:04:10,63.8,16.3,0.841
2013-10-05 11:04:15,63.6,16.5,0.864
2013-10-05 11:04:17,63.6,16.3,0.872
2013-10-05 11:04:19,63.4,16.1,0.881
2013-10-05 11:04:23,63.2,15.9,0.898
2013-10-05 11:04:28,62.6,15.6,0.919
2013-10-05 11:04:29,62.6,15.5,0.923
2013-10-05 11:04:34,62.0,15.6,0.946
2013-10-05 11:04:38,61.4,15.7,0.964
2013-10-05 11:04:40,61.2,16.7,0.976
2013-10-05 11:04:41,61.0,17.2,0.981
2013-10-05 11:04:44,60.4,17.7,0.996
2013-10-05 11:04:45,60.2,17.6,1.000
2013-10-05 11:04:46,60.2,17.5,1.005
2013-10-05 11:04:46,60.2,17.5,1.005
2013-10-05 11:04:48,59.8,17.6,1.014
2013-10-05 11:04:52,59.2,16.3,1.030
2013-10-05 11:04:53,59.0,15.8,1.034
2013-10-05 11:04:59,58.2,14.4,1.057
2013-10-05 11:05:03,57.6,14.1,1.073
2013-10-05 11:05:08,57.2,14.0,1.092
2013-10-05 11:05:13,56.6,13.2,1.108
2013-10-05 11:05:18,56.2,11.8,1.123
2013-10-05 11:05:19,56.2,11.6,1.126
2013-10-05 11:05:23,56.0,11.9,1.142
2013-10-05 11:05:28,55.8,12.9,1.161
2013-10-05 11:05:32,55.8,14.6,1.179
2013-10-05 11:05:36,55.6,14.6,1.195
2013-10-05 11:05:40,55.4,14.5,1.210
2013-10-05 11:05:44,55.4,14.2,1.227
2013-10-05 11:05:48,55.4,13.9,1.241
2013-10-05 11:05:53,55.4,14.0,1.260
2013-10-05 11:05:57,55.4,14.3,1.278
2013-10-05 11:06:01,55.2,14.4,1.293
2013-10-05 11:06:07,55.0,14.4,1.317
2013-10-05 11:06:12,54.8,14.1,1.337
2013-10-05 11:06:18,54.6,14.0,1.360
2013-10-05 11:06:20,54.6,14.2,1.368
2013-10-05 11:06:25,54.6,14.2,1.388
2013-10-05 11:06:30,54.6,14.5,1.408
2013-10-05 11:06:35,54.8,14.3,1.429
2013-10-05 11:06:40,55.0,14.7,1.449
2013-10-05 11:06:42,55.0,14.7,1.458
2013-10-05 11:06:47,55.4,14.6,1.477
2013-10-05 11:06:53,55.8,14.0,1.500
2013-10-05 11:06:58,56.0,14.3,1.520
