Tid	Nr	Temperatur
2015.05	1	9.307	
2015.06	2	9.995	
2015.07	3	10.908	
2015.08	4	11.551	
2015.09	5	11.999	
2015.11	6	10.127	
2015.12	7	8.985	
2016.01	8	7.833	
2016.03	9	6.850	
2016.04	10	7.216	
2016.05	11	9.153	
2016.06	12	11.617	
2016.07	13	11.721	
2016.08	14	11.940	
2016.09	15	12.201	
2016.10	16	11.205	
2016.11	17	10.082	
2016.12	18	10.915	
2017.01	19	7.552	
2017.02	20	6.843	
2017.03	21	6.663	
2017.04	22	7.074	
2017.05	23	9.069	
2017.06	24	10.539	
2017.07	25	11.476	
2017.08	26	11.922	
2017.09	27	11.839	
2017.10	28	11.275	
2017.11	29	10.163	
2017.12	30	8.712	
2018.01	31	7.357	
2018.03	32	4.522	
2018.04	33	5.744	
2018.05	34	8.546	
2018.06	35	10.752	
2018.07	36	12.051	
2018.08	37	13.715	
2018.09	38	13.360	
2018.12	39	8.210	
2019.01	40	7.303	
2019.02	41	6.548	
2019.03	42	6.690	
2019.04	43	7.806	
2019.05	44	9.346	
2019.06	45	10.543	
2019.07	46	11.882	
