Tid	Nr	Lufttemperatur
2018.12.27	1	6.058
2018.12.28	2	4.779
2018.12.29	3	3.655
2018.12.30	4	2.471
2018.12.31	5	5.919
2019.01.01	6	3.733
2019.01.02	7	0.628
2019.01.03	8	0.763
2019.01.04	9	4.886
2019.01.05	10	6.048
2019.01.06	11	4.382
2019.01.07	12	2.493
2019.01.08	13	3.257
2019.01.09	14	0.085
2019.01.10	15	2.436
2019.01.11	16	3.648
2019.01.12	17	1.954
2019.01.13	18	2.135
2019.01.14	19	-1.239
2019.01.15	20	1.217
2019.01.16	21	1.861
2019.01.17	22	-0.672
2019.01.18	23	-0.914
2019.01.19	24	0.088
2019.01.20	25	-0.334
2019.01.21	26	0.506
2019.01.22	27	3.417
2019.01.23	28	1.925
2019.01.24	29	0.825
2019.01.25	30	1.088
2019.01.26	31	1.103
2019.01.27	32	-0.200
2019.01.28	33	-3.533
2019.01.29	34	0.141
2019.01.30	35	3.121
2019.01.31	36	1.721
2019.02.01	37	1.695
2019.02.02	38	-1.141
2019.02.03	39	0.043
2019.02.04	40	2.095
2019.02.05	41	0.061
2019.02.06	42	2.982
2019.02.07	43	3.603
2019.02.08	44	2.874
2019.02.09	45	4.353
2019.02.10	46	2.868
2019.02.11	47	0.738
2019.02.12	48	1.773
2019.02.13	49	6.264
2019.02.14	50	6.018
2019.02.15	51	7.428
2019.02.16	52	5.530
2019.02.17	53	7.350
2019.02.18	54	6.204
2019.02.19	55	4.091
2019.02.20	56	2.525
2019.02.21	57	5.689
2019.02.22	58	6.720
2019.02.23	59	7.419
2019.02.24	60	5.950
2019.02.25	61	5.366
2019.02.26	62	7.348
2019.02.27	63	4.852
2019.02.28	64	3.208
2019.03.01	65	1.913
2019.03.02	66	2.410
2019.03.03	67	5.000
2019.03.04	68	4.700
2019.03.05	69	3.309
2019.03.06	70	3.967
2019.03.07	71	3.433
2019.03.08	72	1.125
2019.03.09	73	0.542
2019.03.10	74	-0.985
2019.03.11	75	-0.667
2019.03.12	76	2.573
2019.03.13	77	2.411
2019.03.14	78	2.192
2019.03.15	79	1.983
2019.03.16	80	3.083
2019.03.17	81	3.721
2019.03.18	82	3.550
2019.03.19	83	1.977
2019.03.20	84	5.707
2019.03.21	85	5.984
2019.03.22	86	5.351
2019.03.23	87	4.083
2019.03.24	88	2.764
2019.03.25	89	2.400
2019.03.26	90	2.841
2019.03.27	91	5.433
2019.03.28	92	6.433
2019.03.29	93	5.977
2019.03.30	94	3.445
2019.03.31	95	0.909
2019.04.01	96	2.851
2019.04.02	97	5.607
2019.04.03	98	7.500
2019.04.04	99	8.567
2019.04.05	100	8.683
2019.04.06	101	6.343
2019.04.07	102	5.027
2019.04.08	103	5.367
2019.04.09	104	3.109
2019.04.10	105	3.545
2019.04.11	106	4.231
2019.04.12	107	3.250
2019.04.13	108	4.017
2019.04.14	109	4.100
2019.04.15	110	4.585
2019.04.16	111	6.319
2019.04.17	112	8.557
2019.04.18	113	9.635
2019.04.19	114	10.392
2019.04.20	115	11.350
2019.04.21	116	11.852
2019.04.22	117	13.275
2019.04.23	118	12.086
2019.04.24	119	15.133
2019.04.25	120	14.056
2019.04.26	121	11.800
2019.04.27	122	9.151
2019.04.28	123	10.405
2019.04.29	124	12.380
2019.04.30	125	9.469
2019.05.01	126	7.371
2019.05.02	127	5.105
2019.05.03	128	3.089
2019.05.04	129	4.826
2019.05.05	130	4.232
2019.05.06	131	3.794
2019.05.07	132	3.828
2019.05.08	133	3.500
2019.05.09	134	5.363
2019.05.10	135	6.174
2019.05.11	136	6.273
2019.05.12	137	5.548
2019.05.13	138	5.549
2019.05.14	139	8.417
2019.05.15	140	11.333
2019.05.16	141	12.355
2019.05.17	142	15.662
2019.05.18	143	14.485
2019.05.19	144	13.254
2019.05.20	145	14.317
2019.05.21	146	14.817
2019.05.22	147	10.458
2019.05.23	148	8.467
2019.05.24	149	9.492
2019.05.25	150	8.267
2019.05.26	151	7.620
2019.05.27	152	7.467
2019.05.28	153	5.813
2019.05.29	154	5.250
2019.05.30	155	6.889
2019.05.31	156	7.524
2019.06.01	157	8.690
2019.06.02	158	11.375
2019.06.03	159	12.667
2019.06.04	160	11.793
2019.06.05	161	11.011
2019.06.06	162	14.583
2019.06.07	163	12.883
2019.06.08	164	12.208
2019.06.09	165	10.567
2019.06.10	166	9.625
2019.06.11	167	14.125
2019.06.12	168	17.292
2019.06.13	169	13.708
2019.06.14	170	15.025
2019.06.15	171	16.181
2019.06.16	172	13.954
2019.06.17	173	12.627
2019.06.18	174	13.147
2019.06.19	175	13.591
2019.06.20	176	12.375
2019.06.21	177	10.533
2019.06.22	178	10.727
2019.06.23	179	12.735
2019.06.24	180	12.515
2019.06.25	181	12.888
2019.06.26	182	11.921
2019.06.27	183	12.189
2019.06.28	184	12.263
2019.06.29	185	13.316
2019.06.30	186	12.881
2019.07.01	187	11.042
2019.07.02	188	8.465
2019.07.03	189	7.327
2019.07.04	190	10.184
2019.07.05	191	10.324
2019.07.06	192	11.528
2019.07.07	193	10.881
2019.07.08	194	11.296
2019.07.09	195	12.307
2019.07.10	196	13.792
2019.07.11	197	14.949
2019.07.12	198	14.356
2019.07.13	199	13.274
2019.07.14	200	12.066
2019.07.15	201	12.702
2019.07.16	202	13.796
2019.07.17	203	14.187
2019.07.18	204	14.695
2019.07.19	205	15.032
2019.07.20	206	13.361
2019.07.21	207	13.401
2019.07.22	208	14.528
2019.07.23	209	16.566
2019.07.24	210	18.813
2019.07.25	211	21.250
2019.07.26	212	15.553
