# Verdens befolkning
# Kilde: FN, https://population.un.org/wpp/Download/Standard/Population/
# Knut Skrindo 2021
# 
Tid;Befolkning
1960;3038412766
1961;3093909471
1962;3150241630
1963;3208212366
1964;3268896174
1965;3333007049
1966;3400823017
1967;3471955133
1968;3545612656
1969;3620652065
1970;3696186306
1971;3772048386
1972;3848319463
1973;3924667649
1974;4000764130
1975;4076419207
1976;4151409530
1977;4225863840
1978;4300401689
1979;4375899125
1980;4453007478
1981;4531799255
1982;4612119820
1983;4694097271
1984;4777827832
1985;4863289935
1986;4950590704
1987;5039478411
1988;5129112573
1989;5218374508
1990;5306425154
1991;5392938741
1992;5478009489
1993;5561743942
1994;5644416076
1995;5726239315
1996;5807211831
1997;5887259665
1998;5966464736
1999;6044931358
2000;6122770220
2001;6200002758
2002;6276721836
2003;6353195588
2004;6429757631
2005;6506649175
2006;6583958568
2007;6661637460
2008;6739610289
2009;6817737123
2010;6895889018
2011;7041194000
2012;7125828000
2013;7210582000
2014;7295291000
2015;7379797000
2016;7464022000
2017;7547859000
2018;7631091000
2019;7713468000
2020;7794798739
